Chart Recorder Data File Wed, Feb 08, 2023 11:03 AM
CH1 (V)  	CH2 (V)  
-0.452841797	0.020019531
-0.468457031	0.021972656
-0.468457031	0.020019531
-0.468457031	0.021484375
-0.468457031	0.020019531
-0.452841797	0.021972656
-0.468457031	0.020019531
-0.468457031	0.022460937
-0.468457031	0.020019531
-0.405996094	0.022460937
-0.312304688	0.020507812
-0.171767578	0.022460937
-0.062460938	0.016601562
0.046845703	0.020019531
0.156152344	0.018554687
0.281074219	0.021484375
0.390380859	0.019531250
0.499687500	0.021972656
0.608994141	0.020507812
0.749531250	0.021972656
0.858837891	0.020507812
0.968144531	0.022949219
1.077451172	0.020996094
1.202373047	0.022949219
1.311679688	0.020996094
1.436601562	0.023437500
1.545908203	0.021484375
1.670830078	0.022949219
1.780136719	0.021484375
1.905058594	0.023437500
1.998750000	0.021484375
2.123671875	0.023437500
2.232978516	0.021484375
2.357900391	0.025390625
2.467207031	0.027832031
2.592128906	0.028320312
2.701435547	0.024902344
2.826357422	0.025878906
2.920048828	0.023437500
3.044970703	0.024902344
3.154277344	0.022949219
3.279199219	0.024902344
3.388505859	0.022460937
3.513427734	0.024414062
3.622734375	0.022460937
3.747656250	0.024902344
3.856962891	0.022949219
3.966269531	0.024902344
4.059960937	0.022460937
4.184882812	0.025390625
4.294189453	0.023437500
4.419111328	0.025390625
4.528417969	0.023925781
4.653339844	0.026367187
4.762646484	0.025390625
4.871953125	0.027343750
4.981259766	0.025878906
5.106181641	0.029296875
5.215488281	0.027832031
5.340410156	0.030761719
5.449716797	0.029785156
5.574638672	0.032714844
5.683945312	0.032226562
5.808867187	0.035644531
5.918173828	0.035156250
6.027480469	0.039062500
6.136787109	0.039062500
6.261708984	0.043457031
6.371015625	0.043457031
6.495937500	0.047851562
6.605244141	0.046386719
6.714550781	0.049316406
6.839472656	0.046386719
6.948779297	0.046875000
7.058085937	0.043457031
7.183007812	0.042968750
7.292314453	0.038574219
7.417236328	0.039062500
7.526542969	0.035156250
7.651464844	0.036132812
7.760771484	0.032714844
7.885693359	0.033691406
7.963769531	0.031250000
8.088691406	0.033203125
8.197998047	0.030761719
8.322919922	0.033691406
8.432226563	0.031738281
8.541533203	0.034667969
8.650839844	0.033691406
8.775761719	0.037597656
8.885068359	0.037109375
9.025605469	0.041503906
9.134912109	0.041503906
9.244218750	0.046875000
9.353525391	0.046875000
9.478447266	0.052246094
9.587753906	0.053710937
9.712675781	0.060058594
9.821982422	0.061035156
9.931289062	0.068847656
10.040595703	0.070312500
10.165517578	0.078125000
10.274824219	0.080078125
10.399746094	0.088867187
10.509052734	0.091308594
10.618359375	0.100097656
10.743281250	0.104003906
10.852587891	0.112792969
10.961894531	0.116699219
11.102431641	0.125976562
11.211738281	0.129394531
11.321044922	0.136718750
11.430351563	0.137695312
11.539658203	0.141601562
11.664580078	0.137695312
11.773886719	0.136718750
11.898808594	0.129394531
11.992500000	0.125488281
12.101806641	0.115722656
12.226728516	0.110839844
12.336035156	0.101074219
12.460957031	0.095703125
12.570263672	0.086914062
12.695185547	0.082519531
12.788876953	0.074218750
12.913798828	0.070800781
13.038720703	0.063964844
13.148027344	0.063476562
13.257333984	0.058105469
13.366640625	0.057617187
13.491562500	0.054687500
13.616484375	0.060058594
13.725791016	0.059570312
